Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch 171.000, Ch 174.000, Ch 176.000, Ch 182.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch 
Record,Date/Time,40,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain
Record,Date/Time,50,Az(deg),El(deg),TkBB(K), Ch 170.000, Ch 171.000, Ch 172.000, Ch 173.000, Ch 174.000, Ch 175.000, Ch 176.000, Ch 177.000, Ch 178.000, Ch 179.000, Ch 180.000, Ch 181.000, Ch 182.000, Ch 183.000, Ch 183.310, Ch 
Record,Date/Time,80,ID,SNR,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Az(deg),El(deg),TkBB(K), Ch 171.000, Ch 174.000, Ch 176.000, Ch 182.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch   0.000, Ch 
  2605,11/05/13 17:01:10,41, 265.2860,  70.5000,1009.4000, 999.9990,0
  2606,11/05/13 17:01:56,51,  0.00, 30.15,273.909,114.735,118.090,124.761,143.645,149.996,158.038,171.394,188.518,209.800,229.622,246.064,255.920,259.952,260.511,261.663,
  2607,11/05/13 17:02:19,51,  0.00, 41.85,273.917, 91.529, 94.230, 99.289,119.750,124.463,130.725,142.867,159.974,182.339,205.963,228.058,244.321,254.465,257.841,258.480,
  2608,11/05/13 17:02:42,51,  0.00, 90.00,273.948, 78.157, 79.785, 82.852,101.482,103.478,105.384,113.787,127.408,146.095,168.961,195.302,219.424,237.935,247.461,248.530,
  2609,11/05/13 17:03:05,51,  0.00,138.15,273.942, 92.376, 95.426,101.608,121.386,125.635,132.752,142.507,158.399,180.467,204.626,226.629,242.720,253.441,257.281,258.959,
  2610,11/05/13 17:03:28,51,  0.00,149.85,273.925,129.145,132.357,137.072,153.494,157.738,163.468,174.594,189.312,207.628,225.541,241.739,251.521,257.304,259.149,260.542,
  2611,11/05/13 17:03:31,41, 265.1070,  67.3200,1009.1000, 999.9990,0
  2612,11/05/13 17:04:18,51,  0.00, 30.15,273.918,102.773,107.631,115.868,135.952,143.669,151.976,165.543,183.934,204.497,226.225,243.397,253.853,258.737,260.693,261.283,
  2613,11/05/13 17:04:41,51,  0.00, 41.85,273.985, 81.549, 85.377, 91.480,111.627,115.679,122.603,135.575,153.303,175.619,201.176,225.670,243.915,254.363,257.861,257.826,
  2614,11/05/13 17:05:04,51,  0.00, 90.00,273.946, 58.885, 61.568, 66.563, 86.567, 87.188, 89.763, 99.852,113.285,133.240,159.130,188.007,214.462,235.985,245.746,246.457,
  2615,11/05/13 17:05:27,51,  0.00,138.15,273.928, 94.875, 96.660,101.093,119.625,121.033,125.522,136.744,154.483,175.630,200.207,223.159,240.844,252.909,257.014,256.721,
  2616,11/05/13 17:05:49,51,  0.00,149.85,273.955,104.033,108.472,115.018,135.211,139.930,148.172,161.713,179.806,200.572,221.990,240.838,253.195,258.985,261.279,261.142,
  2617,11/05/13 17:05:53,41, 265.1610,  66.3800,1009.6000, 999.9990,0
  2618,11/05/13 17:06:39,51,  0.00, 30.15,273.954,122.753,128.246,134.867,154.190,160.458,167.929,180.691,196.010,214.149,231.087,246.457,255.370,260.085,260.229,260.937,
  2619,11/05/13 17:07:02,51,  0.00, 41.85,273.952, 93.700, 97.341,102.313,120.144,123.459,129.074,141.410,158.684,180.108,202.572,225.648,243.184,254.161,257.194,257.109,
  2620,11/05/13 17:07:24,51,  0.00, 90.00,273.978, 78.775, 81.531, 86.585,102.389,104.222,108.294,116.132,128.408,148.114,171.621,196.829,219.515,238.695,247.681,248.441,
  2621,11/05/13 17:07:47,51,  0.00,138.15,273.923,110.158,114.565,118.143,133.369,137.019,141.917,152.154,166.613,185.592,206.375,228.401,243.003,252.489,256.520,256.384,
  2622,11/05/13 17:08:10,51,  0.00,149.85,273.980,123.524,126.451,132.011,147.963,154.108,159.779,171.469,185.940,205.563,224.512,241.786,252.823,257.730,259.350,260.059,
  2623,11/05/13 17:08:13,41, 265.1610,  67.3500,1009.5000, 999.9990,0
  2624,11/05/13 17:09:00,51,  0.00, 30.15,273.962,140.909,144.839,152.069,168.335,174.633,179.670,190.462,205.252,219.209,234.867,247.728,255.815,259.707,260.633,261.051,
  2625,11/05/13 17:09:23,51,  0.00, 41.85,273.973, 98.397,102.079,108.387,127.562,131.498,135.219,147.000,164.276,182.946,205.256,228.092,244.447,254.879,258.985,259.001,
  2626,11/05/13 17:09:46,51,  0.00, 90.00,274.014, 58.797, 62.218, 68.973, 86.750, 88.210, 90.664,100.563,115.235,133.370,158.714,186.818,214.401,236.027,246.533,247.144,
  2627,11/05/13 17:10:09,51,  0.00,138.15,274.014, 89.844, 91.738, 96.701,115.019,119.005,124.782,138.511,156.739,177.365,200.780,223.306,241.161,252.883,257.867,257.384,
  2628,11/05/13 17:10:32,51,  0.00,149.85,274.013,120.288,126.157,132.938,149.076,156.780,162.693,174.199,190.040,207.172,225.825,243.000,253.620,258.766,261.033,260.993,
  2629,11/05/13 17:10:35,41, 265.1340,  66.4900,1009.6000, 999.9990,0
  2630,11/05/13 17:11:21,51,  0.00, 30.15,274.002,153.025,157.120,161.076,175.076,179.021,184.316,194.885,209.111,224.836,239.040,250.356,258.081,261.546,261.527,261.176,
  2631,11/05/13 17:11:44,51,  0.00, 41.85,273.995,130.741,133.867,136.859,152.689,155.957,160.190,170.105,184.034,200.995,219.276,235.998,247.941,256.981,259.709,259.287,
  2632,11/05/13 17:12:07,51,  0.00, 90.00,273.998, 76.569, 78.410, 81.272, 99.515,101.096,102.386,110.628,123.799,144.571,168.219,193.598,218.489,238.392,247.377,248.474,
  2633,11/05/13 17:12:30,51,  0.00,138.15,273.990, 78.849, 82.195, 87.469,108.515,112.184,118.706,131.188,147.897,170.546,195.812,220.028,239.281,252.656,257.172,258.005,
  2634,11/05/13 17:12:53,51,  0.00,149.85,274.023,106.785,111.719,117.233,135.686,139.344,145.487,158.626,175.058,197.352,219.736,238.639,252.020,259.266,261.003,261.342,
  2635,11/05/13 17:12:56,41, 265.1070,  65.7800,1009.8000, 999.9990,0
  2636,11/05/13 17:13:42,51,  0.00, 30.15,273.953,114.730,119.403,126.187,144.891,150.745,158.765,173.072,190.457,210.340,230.357,245.875,255.879,260.653,260.850,261.415,
  2637,11/05/13 17:14:05,51,  0.00, 41.85,273.976,100.574,102.739,106.556,123.983,127.371,133.951,148.054,164.362,185.313,207.433,229.481,245.516,254.919,258.259,258.319,
  2638,11/05/13 17:14:28,51,  0.00, 90.00,273.992, 76.891, 74.896, 76.392, 95.115, 96.522, 99.883,110.510,125.634,145.568,169.059,195.755,220.306,240.140,248.934,249.393,
  2639,11/05/13 17:14:51,51,  0.00,138.15,273.995,107.223,110.858,115.363,132.988,134.340,138.785,150.273,165.577,184.837,206.059,226.187,242.920,253.736,257.886,257.818,
  2640,11/05/13 17:15:14,51,  0.00,149.85,273.978,115.364,117.643,123.608,142.703,146.455,154.296,167.611,184.155,203.924,223.871,240.256,251.987,257.963,258.210,259.281,
  2641,11/05/13 17:15:17,41, 265.1460,  68.5300,1009.8000, 999.9990,0
  2642,11/05/13 17:16:03,51,  0.00, 30.15,273.981,117.061,121.261,127.990,146.983,152.437,158.476,171.656,189.324,208.860,228.116,245.482,255.484,259.685,260.377,261.181,
  2643,11/05/13 17:16:26,51,  0.00, 41.85,273.983, 96.340, 98.830,103.915,122.442,126.736,132.485,144.954,161.912,184.503,207.874,229.786,245.721,255.002,257.995,258.450,
  2644,11/05/13 17:16:49,51,  0.00, 90.00,273.988, 80.924, 85.441, 91.347,109.703,111.256,113.151,121.778,135.333,155.591,179.952,202.965,225.232,242.364,249.162,250.887,
  2645,11/05/13 17:17:12,51,  0.00,138.15,273.996, 95.311, 98.799,103.811,121.576,125.978,131.951,143.657,160.213,181.596,205.201,226.791,243.191,253.509,258.028,258.498,
  2646,11/05/13 17:17:35,51,  0.00,149.85,273.956,105.239,109.844,116.320,134.255,141.440,149.259,163.502,181.477,202.491,224.988,242.851,254.681,259.432,260.478,260.338,
  2647,11/05/13 17:17:38,41, 265.2000,  69.5400,1009.7000, 999.9990,0
  2648,11/05/13 17:18:24,51,  0.00, 30.15,273.955,110.944,116.803,123.349,142.778,150.368,158.774,172.451,191.484,211.115,229.044,245.340,254.950,259.506,259.804,260.565,
  2649,11/05/13 17:18:47,51,  0.00, 41.85,273.976,102.728,105.551,110.908,128.938,132.083,136.136,147.365,164.623,184.679,207.059,229.050,245.538,255.181,257.734,257.756,
  2650,11/05/13 17:19:10,51,  0.00, 90.00,273.958, 73.548, 74.555, 77.397, 93.704, 94.013, 96.780,108.283,125.124,144.193,167.508,195.601,220.009,239.534,247.548,248.380,
  2651,11/05/13 17:19:33,51,  0.00,138.15,274.005,105.058,108.881,113.351,130.539,134.638,140.127,151.247,166.811,185.152,206.830,228.092,243.676,254.148,257.991,257.710,
  2652,11/05/13 17:19:56,51,  0.00,149.85,273.960,125.725,129.604,135.114,152.887,158.636,164.789,175.703,191.084,208.924,226.366,243.294,253.258,258.358,259.364,259.675,
  2653,11/05/13 17:19:59,41, 265.2000,  68.2500,1009.9000, 999.9990,0
  2654,11/05/13 17:20:45,51,  0.00, 30.15,273.957,104.265,108.874,115.668,136.162,142.646,149.768,164.428,183.766,203.496,224.020,242.826,254.271,258.962,259.727,260.431,
  2655,11/05/13 17:21:08,51,  0.00, 41.85,273.992, 93.277, 97.483,103.161,122.169,126.529,131.789,144.503,161.926,181.564,205.311,227.416,244.177,253.804,257.265,257.003,
  2656,11/05/13 17:21:31,51,  0.00, 90.00,273.958, 75.234, 79.378, 84.272,102.729,105.283,109.028,117.814,131.243,150.678,173.551,198.656,222.002,239.675,248.207,250.327,
  2657,11/05/13 17:21:54,51,  0.00,138.15,273.981,123.499,126.172,129.858,146.138,149.559,154.419,164.990,178.777,196.621,216.078,233.853,248.300,256.499,258.950,259.224,
  2658,11/05/13 17:22:17,51,  0.00,149.85,274.014,145.110,149.995,155.164,170.838,175.671,180.679,191.155,205.707,219.864,234.983,247.623,256.552,260.044,261.020,260.552,
  2659,11/05/13 17:22:20,41, 265.0640,  69.2100,1009.8000, 999.9990,0
  2660,11/05/13 17:23:06,51,  0.00, 30.15,273.945,139.736,144.663,150.615,168.994,173.759,178.948,191.184,205.750,220.338,235.055,248.569,256.350,259.778,260.645,260.906,
  2661,11/05/13 17:23:29,51,  0.00, 41.85,273.966,106.686,110.276,115.690,134.634,138.298,143.237,155.044,171.211,188.905,210.621,231.048,245.777,254.819,258.387,257.542,
  2662,11/05/13 17:23:52,51,  0.00, 90.00,273.961, 58.893, 60.829, 63.428, 84.672, 84.484, 85.224, 96.473,111.740,131.790,157.225,186.859,212.993,234.770,244.638,245.569,
  2663,11/05/13 17:24:15,51,  0.00,138.15,273.971, 91.647, 95.001, 99.603,117.251,119.661,124.936,137.291,154.150,175.453,199.224,223.113,241.381,252.540,257.459,257.892,
  2664,11/05/13 17:24:38,51,  0.00,149.85,273.962,107.904,110.639,116.929,136.153,141.311,148.597,162.406,180.168,200.343,221.601,239.544,251.493,257.619,259.156,260.078,
  2665,11/05/13 17:24:41,41, 265.0360,  68.3900,1009.9000, 999.9990,0
  2666,11/05/13 17:25:27,51,  0.00, 30.15,273.952,122.172,124.667,130.573,148.873,155.082,163.025,175.076,191.167,210.035,228.277,244.524,254.450,258.666,260.308,260.586,
  2667,11/05/13 17:25:50,51,  0.00, 41.85,273.934, 90.071, 92.284, 97.232,117.417,121.808,128.621,141.722,159.245,180.616,204.724,227.016,243.627,253.102,258.073,257.202,
  2668,11/05/13 17:26:13,51,  0.00, 90.00,273.952, 68.656, 69.194, 72.722, 92.095, 94.867, 97.036,106.540,121.006,140.543,165.473,192.191,216.981,236.322,246.427,247.093,
  2669,11/05/13 17:26:36,51,  0.00,138.15,273.940, 79.632, 82.227, 88.418,107.139,111.003,117.644,130.326,147.649,170.243,195.505,219.911,238.434,250.026,255.262,255.501,
  2670,11/05/13 17:26:59,51,  0.00,149.85,273.941,105.815,109.781,116.578,135.265,138.863,144.222,156.653,174.734,195.063,217.682,238.094,250.426,256.780,258.222,260.313,
  2671,11/05/13 17:27:02,41, 265.1890,  67.2500,1009.9000, 999.9990,0
  2672,11/05/13 17:27:49,51,  0.00, 30.15,273.928,130.135,133.293,138.894,154.351,160.383,167.217,178.964,195.107,213.700,232.001,246.407,256.243,259.773,261.517,260.328,
  2673,11/05/13 17:28:11,51,  0.00, 41.85,273.945,107.653,111.775,118.325,135.192,139.140,143.267,153.988,169.125,187.779,208.913,229.631,246.171,254.345,258.561,258.452,
  2674,11/05/13 17:28:34,51,  0.00, 90.00,273.909, 76.128, 78.127, 82.622,101.478,104.760,106.945,116.471,131.181,150.009,172.127,196.867,221.913,240.504,249.170,249.610,
  2675,11/05/13 17:28:58,51,  0.00,138.15,273.912,101.797,105.159,110.706,127.476,134.435,142.432,153.670,168.973,187.863,208.443,227.666,244.295,254.007,257.971,258.726,
  2676,11/05/13 17:29:20,51,  0.00,149.85,273.946,126.411,129.972,136.322,152.588,159.863,166.393,178.811,195.351,212.803,230.015,244.017,254.796,259.208,260.009,260.512,
  2677,11/05/13 17:29:24,41, 265.2160,  70.1700,1009.8000, 999.9990,0
  2678,11/05/13 17:30:10,51,  0.00, 30.15,273.900,129.481,135.537,142.615,161.970,166.302,172.852,184.096,199.433,215.106,232.580,246.539,254.909,259.350,259.944,261.651,
  2679,11/05/13 17:30:33,51,  0.00, 41.85,273.886, 82.398, 86.815, 92.529,114.477,118.432,123.247,137.793,156.996,178.584,203.585,226.417,243.861,255.136,259.732,259.665,
  2680,11/05/13 17:30:56,51,  0.00, 90.00,273.924, 65.610, 67.985, 70.303, 88.168, 87.824, 91.002,100.779,115.025,134.779,162.259,190.602,217.637,238.693,248.843,250.286,
  2681,11/05/13 17:31:19,51,  0.00,138.15,273.924,105.588,109.737,113.732,133.062,135.814,140.863,153.428,169.593,188.464,209.426,228.985,244.667,254.944,259.387,260.445,
  2682,11/05/13 17:31:42,51,  0.00,149.85,273.923,121.233,126.360,132.004,151.193,155.378,162.080,174.300,190.435,207.023,227.791,243.409,253.973,260.158,261.141,262.552,
  2683,11/05/13 17:31:45,41, 265.0750,  69.9800,1010.0000, 999.9990,0
  2684,11/05/13 17:32:31,51,  0.00, 30.15,273.929,152.342,157.008,162.186,175.562,180.464,185.136,194.795,207.920,221.280,236.447,249.315,257.253,260.301,260.887,260.857,
  2685,11/05/13 17:32:54,51,  0.00, 41.85,273.928, 95.769, 99.663,104.534,122.667,126.858,132.285,145.375,163.911,184.561,207.755,229.342,245.649,255.532,257.445,257.741,
  2686,11/05/13 17:33:17,51,  0.00, 90.00,273.915, 76.292, 79.483, 83.908,102.414,104.380,107.338,116.235,131.284,149.611,173.083,197.815,220.272,238.539,248.287,248.275,
  2687,11/05/13 17:33:40,51,  0.00,138.15,273.916,108.917,112.918,120.179,138.005,141.779,146.695,156.919,171.365,189.630,209.533,229.442,244.420,253.191,256.768,256.892,
  2688,11/05/13 17:34:03,51,  0.00,149.85,273.891,126.605,130.892,138.282,155.764,161.532,167.958,180.032,195.941,213.000,231.510,245.380,255.199,260.215,260.389,260.774,
  2689,11/05/13 17:34:06,41, 265.1460,  69.2600,1010.1000, 999.9990,0
  2690,11/05/13 17:34:52,51,  0.00, 30.15,273.941,116.809,119.732,126.090,145.154,150.912,158.128,172.199,188.788,209.082,227.483,243.498,254.102,258.614,259.719,260.405,
  2691,11/05/13 17:35:15,51,  0.00, 41.85,273.881, 96.973, 99.068,103.183,120.457,122.797,127.275,140.414,156.195,177.365,201.693,223.667,241.717,252.319,256.099,256.588,
  2692,11/05/13 17:35:38,51,  0.00, 90.00,273.920, 78.735, 81.638, 85.480,102.417,104.241,106.937,116.228,128.569,146.175,168.474,193.286,216.771,236.514,245.726,248.167,
  2693,11/05/13 17:36:01,51,  0.00,138.15,273.922,104.700,104.616,109.508,125.065,128.616,134.129,146.087,160.733,181.395,206.350,227.840,244.845,253.833,257.995,258.089,
  2694,11/05/13 17:36:24,51,  0.00,149.85,273.966,132.528,138.143,144.869,161.005,166.455,171.870,183.531,196.460,212.696,229.506,243.972,252.739,257.513,258.901,260.078,
  2695,11/05/13 17:36:27,41, 265.1610,  68.0700,1009.9000, 999.9990,0
  2696,11/05/13 17:37:13,51,  0.00, 30.15,273.916,144.880,149.542,156.164,172.080,177.849,185.572,195.938,209.733,224.031,238.575,249.801,257.343,260.278,261.510,261.808,
  2697,11/05/13 17:37:36,51,  0.00, 41.85,273.961,107.617,111.950,117.446,136.040,140.326,145.530,154.843,169.847,188.267,209.118,230.382,245.280,254.799,257.934,257.298,
  2698,11/05/13 17:37:59,51,  0.00, 90.00,273.941, 65.876, 68.208, 73.580, 92.695, 92.734, 96.517,105.600,120.650,141.255,164.878,192.777,216.848,237.477,247.969,249.549,
  2699,11/05/13 17:38:22,51,  0.00,138.15,273.922, 87.426, 92.934, 99.085,118.106,124.728,131.236,142.479,160.020,180.970,204.212,226.730,243.330,254.159,258.359,258.249,
  2700,11/05/13 17:38:44,51,  0.00,149.85,273.913,138.300,143.714,150.671,167.925,172.171,177.871,187.689,202.554,217.250,232.892,247.049,255.542,260.058,260.918,263.058,
  2701,11/05/13 17:38:48,41, 265.0910,  67.9300,1010.1000, 999.9990,0
  2702,11/05/13 17:39:35,51,  0.00, 30.15,273.933,153.359,157.906,165.902,181.747,188.222,195.236,204.362,216.288,228.174,241.409,251.223,256.616,260.804,261.855,261.032,
  2703,11/05/13 17:39:57,51,  0.00, 41.85,273.950,113.902,116.766,122.261,138.830,141.868,147.185,157.947,174.138,191.872,211.440,231.410,246.157,255.483,258.499,258.490,
  2704,11/05/13 17:40:20,51,  0.00, 90.00,273.957, 56.749, 58.508, 62.574, 81.368, 82.743, 86.151, 95.905,112.475,131.881,157.226,186.238,212.545,234.933,245.777,246.780,
  2705,11/05/13 17:40:43,51,  0.00,138.15,273.897, 85.199, 90.202, 98.604,116.789,122.191,130.223,142.116,158.109,178.105,202.175,224.439,241.447,253.624,257.563,258.127,
  2706,11/05/13 17:41:06,51,  0.00,149.85,273.965,127.208,130.832,137.715,154.170,159.395,165.962,177.400,193.558,210.910,227.540,243.700,253.670,259.353,260.503,261.358,
  2707,11/05/13 17:41:10,41, 265.0210,  67.3600,1010.2000, 999.9990,0
  2708,11/05/13 17:41:56,51,  0.00, 30.15,273.925,138.777,142.415,146.920,161.597,167.688,175.252,188.053,203.184,219.622,234.700,248.412,256.367,260.094,260.634,260.612,
  2709,11/05/13 17:42:19,51,  0.00, 41.85,273.941,109.100,114.096,120.648,138.166,143.946,149.044,159.304,174.745,192.680,212.495,232.202,246.346,254.880,257.824,258.057,
  2710,11/05/13 17:42:42,51,  0.00, 90.00,273.930, 64.749, 69.440, 74.061, 92.183, 95.035, 99.590,109.799,121.737,140.446,164.738,191.799,217.109,237.226,246.403,246.861,
  2711,11/05/13 17:43:05,51,  0.00,138.15,273.897, 78.510, 82.242, 87.536,106.750,111.260,117.012,130.177,147.454,170.497,194.983,220.183,239.220,251.282,256.270,256.655,
  2712,11/05/13 17:43:28,51,  0.00,149.85,273.940,113.124,116.645,122.994,141.960,148.702,156.369,169.787,185.616,204.843,225.439,241.880,252.420,258.477,260.076,260.400,
  2713,11/05/13 17:43:31,41, 265.0360,  67.8300,1010.3000, 999.9990,0
  2714,11/05/13 17:44:17,51,  0.00, 30.15,273.863,116.333,120.598,127.590,145.911,151.990,159.842,172.167,188.062,207.630,227.298,243.698,253.810,258.851,261.057,260.816,
  2715,11/05/13 17:44:40,51,  0.00, 41.85,273.925, 82.764, 86.497, 93.156,114.095,119.603,126.646,139.217,156.247,178.314,203.055,225.531,242.233,253.287,258.091,258.348,
  2716,11/05/13 17:45:03,51,  0.00, 90.00,273.933, 75.927, 77.899, 82.009,100.545,101.718,105.118,114.103,126.935,145.692,169.102,196.046,219.680,238.665,248.287,249.049,
  2717,11/05/13 17:45:26,51,  0.00,138.15,273.884,105.910,109.137,113.628,129.537,134.360,140.704,151.474,166.652,185.715,207.558,228.690,243.330,253.267,257.901,258.213,
  2718,11/05/13 17:45:49,51,  0.00,149.85,273.904,126.501,130.537,137.422,152.359,158.575,166.067,177.488,192.960,209.399,228.708,244.429,254.335,259.018,260.647,260.385,
  2719,11/05/13 17:45:52,41, 265.0360,  68.1400,1010.3000, 999.9990,0
  2720,11/05/13 17:46:39,51,  0.00, 30.15,273.898,118.597,124.921,132.926,149.934,157.193,165.597,178.180,194.761,212.415,230.511,246.854,255.926,259.616,261.914,261.792,
  2721,11/05/13 17:47:02,51,  0.00, 41.85,273.921, 87.187, 91.231, 97.827,115.685,119.565,126.531,139.693,158.233,180.425,204.232,226.796,244.364,253.164,258.434,258.172,
  2722,11/05/13 17:47:25,51,  0.00, 90.00,273.900, 67.391, 69.609, 74.064, 91.953, 94.751, 99.830,110.790,125.418,145.137,168.682,195.464,220.740,238.344,248.319,249.119,
  2723,11/05/13 17:47:48,51,  0.00,138.15,273.904, 96.385,102.402,108.541,127.064,130.427,135.481,148.087,165.892,185.688,208.075,228.970,244.923,254.694,258.876,258.904,
  2724,11/05/13 17:48:11,51,  0.00,149.85,273.887,128.052,132.556,138.444,153.939,160.408,166.885,177.518,192.085,209.076,229.294,244.593,254.605,259.837,262.579,262.815,
  2725,11/05/13 17:48:14,41, 265.0210,  68.1600,1010.3000, 999.9990,0
  2726,11/05/13 17:49:00,51,  0.00, 30.15,273.871,135.343,138.068,142.803,159.922,163.871,170.621,182.003,198.946,214.643,231.001,246.040,254.359,259.961,259.952,260.423,
  2727,11/05/13 17:49:23,51,  0.00, 41.85,273.895,100.005,102.469,107.310,126.429,132.038,137.484,150.263,167.428,186.483,207.768,228.734,244.936,254.884,257.495,257.931,
  2728,11/05/13 17:49:46,51,  0.00, 90.00,273.892, 82.570, 81.814, 83.736, 97.939, 99.219,101.262,108.858,123.069,141.566,165.721,193.205,216.973,238.035,247.089,247.154,
  2729,11/05/13 17:50:09,51,  0.00,138.15,273.872,107.734,110.766,113.803,129.292,134.558,139.352,149.893,165.474,183.676,205.714,226.910,243.125,253.955,257.291,257.490,
  2730,11/05/13 17:50:32,51,  0.00,149.85,273.870,119.551,122.878,128.002,144.082,151.575,157.999,170.512,187.392,204.755,224.188,242.159,252.989,259.609,260.114,260.571,
  2731,11/05/13 17:50:35,41, 265.1180,  70.0900,1010.1000, 999.9990,0
  2732,11/05/13 17:51:21,51,  0.00, 30.15,273.871,128.403,131.594,137.209,155.967,161.498,168.092,180.354,195.541,212.280,229.777,246.148,255.565,258.694,259.893,259.642,
  2733,11/05/13 17:51:44,51,  0.00, 41.85,273.805,111.294,114.132,119.601,137.521,141.123,144.268,156.061,172.049,192.297,213.329,232.806,247.475,256.511,259.370,258.454,
  2734,11/05/13 17:52:07,51,  0.00, 90.00,273.887, 78.171, 79.015, 82.727,101.765,103.092,105.443,114.619,128.524,147.992,172.184,198.768,223.343,242.124,250.079,250.652,
  2735,11/05/13 17:52:30,51,  0.00,138.15,273.794, 98.422,104.156,110.564,128.803,132.819,139.939,151.164,167.233,187.052,207.882,227.798,244.310,254.008,258.414,258.246,
  2736,11/05/13 17:52:53,51,  0.00,149.85,273.831,102.530,107.229,114.351,135.926,142.830,150.245,164.390,182.284,202.775,224.052,241.703,253.077,259.213,261.106,261.255,
  2737,11/05/13 17:52:56,41, 265.1610,  70.4400,1010.2000, 999.9990,0
  2738,11/05/13 17:53:42,51,  0.00, 30.15,273.896,131.906,136.222,142.906,160.757,165.986,172.810,185.379,200.596,217.493,234.010,247.768,255.906,259.206,259.912,259.645,
  2739,11/05/13 17:54:05,51,  0.00, 41.85,273.880,104.964,109.846,115.638,134.414,138.433,142.876,153.916,167.929,187.061,209.957,230.864,247.204,255.498,258.381,257.074,
  2740,11/05/13 17:54:28,51,  0.00, 90.00,273.860, 70.578, 71.355, 73.579, 93.170, 95.324, 99.759,109.135,122.611,142.583,167.636,195.692,220.680,238.928,247.426,248.155,
  2741,11/05/13 17:54:51,51,  0.00,138.15,273.916, 85.329, 88.131, 95.218,116.691,119.588,124.938,135.844,151.540,173.096,197.754,221.380,241.579,252.526,256.944,256.537,
  2742,11/05/13 17:55:14,51,  0.00,149.85,273.819, 95.251, 99.826,107.638,128.193,133.566,141.338,154.981,173.172,195.598,218.404,237.559,251.560,257.138,258.600,258.945,
  2743,11/05/13 17:55:17,41, 265.1730,  71.9400,1010.2000, 999.9990,0
  2744,11/05/13 17:56:03,51,  0.00, 30.15,273.894,143.032,147.171,152.760,167.556,173.792,178.285,187.632,200.352,216.266,233.557,247.679,256.662,260.160,260.685,260.963,
  2745,11/05/13 17:56:26,51,  0.00, 41.85,273.901,107.312,110.172,116.235,132.678,136.607,141.145,151.627,166.138,184.988,207.452,229.252,246.170,255.885,259.025,258.393,
  2746,11/05/13 17:56:49,51,  0.00, 90.00,273.879, 59.221, 61.173, 66.601, 85.751, 88.558, 92.659,102.573,117.335,136.704,161.253,188.358,214.460,236.864,246.222,246.569,
  2747,11/05/13 17:57:12,51,  0.00,138.15,273.895, 85.099, 88.213, 92.866,109.826,114.693,119.922,132.521,148.325,170.512,196.165,219.963,239.316,251.280,256.528,256.331,
  2748,11/05/13 17:57:35,51,  0.00,149.85,273.876,109.860,114.537,122.079,140.119,147.127,154.074,165.527,181.506,201.377,223.320,240.924,252.788,258.491,260.542,261.173,
  2749,11/05/13 17:57:38,41, 265.0090,  70.4800,1010.2000, 999.9990,0
  2750,11/05/13 17:58:24,51,  0.00, 30.15,273.906,130.255,133.980,140.281,157.385,164.433,170.905,183.398,199.001,216.277,233.243,247.424,256.184,259.922,261.169,261.503,
  2751,11/05/13 17:58:47,51,  0.00, 41.85,273.915,130.029,132.551,135.558,148.171,152.590,157.247,166.860,180.147,196.413,215.941,233.546,247.286,255.752,258.236,258.335,
  2752,11/05/13 17:59:10,51,  0.00, 90.00,273.911, 58.687, 60.670, 64.819, 83.971, 88.292, 92.361,102.907,117.077,137.843,163.380,191.414,217.583,238.579,247.109,248.529,
  2753,11/05/13 17:59:33,51,  0.00,138.15,273.931, 91.456, 94.262, 98.306,113.970,117.714,122.588,134.809,153.083,173.889,200.583,223.563,242.060,253.907,258.266,257.692,
  2754,11/05/13 17:59:56,51,  0.00,149.85,273.937,131.655,135.217,140.382,156.488,161.477,168.371,180.250,194.676,211.944,229.566,244.075,253.352,259.023,259.179,260.180,
  2755,11/05/13 17:59:59,41, 265.1460,  68.7300,1010.6000, 999.9990,0
  2756,11/05/13 18:00:45,51,  0.00, 30.15,273.923,143.942,149.466,154.391,169.847,176.136,183.624,194.413,208.509,224.122,237.857,250.086,257.474,260.255,261.944,261.605,
  2757,11/05/13 18:01:09,51,  0.00, 41.85,273.929,115.065,117.416,120.589,135.661,137.579,141.295,152.338,169.804,189.749,210.835,231.384,246.384,254.944,259.129,259.018,
  2758,11/05/13 18:01:32,51,  0.00, 90.00,274.024, 69.696, 72.421, 76.020, 95.120, 96.756,100.057,109.800,124.801,145.534,168.143,194.454,219.187,238.431,247.221,248.040,
  2759,11/05/13 18:01:55,51,  0.00,138.15,273.980, 82.543, 85.781, 90.950,110.573,114.296,119.489,131.682,148.813,171.692,195.828,219.615,238.949,251.359,256.453,256.096,
  2760,11/05/13 18:02:17,51,  0.00,149.85,273.943,101.173,106.312,113.653,134.002,140.814,148.777,161.942,179.798,200.913,221.253,239.223,251.502,257.271,259.606,259.980,
