Record,Date/Time,10,Tamb(K),Rh(%),Pres(mb),Tir(K),Rain,Azim,Elev,TkBB(K), 22.235, 23.035, 23.835, 26.235, 30.000, 51.250, 52.280, 53.850, 54.940, 56.660, 57.290, 58.800,
   316,10/27/13 03:00:19,11,270.33, 96.71,1024.4,270.3,N,  0.00, 90.00,279.23, 21.11, 21.12, 20.94, 16.46, 14.77,109.85,148.38,237.98,264.17,266.36,267.84,266.65,
   317,10/27/13 03:00:44,11,270.22, 96.85,1024.4,270.5,N,  0.00, 90.00,279.23, 21.12, 20.76, 20.80, 16.41, 14.81,109.50,148.29,237.93,264.18,266.55,267.35,266.22,
   318,10/27/13 03:01:09,11,270.29, 97.06,1024.3,270.1,N,  0.00, 90.00,279.23, 20.94, 20.64, 20.39, 16.01, 14.01,109.05,147.86,237.62,264.22,266.46,267.27,266.17,
   319,10/27/13 03:01:34,11,270.24, 97.27,1024.4,269.6,N,  0.00, 90.00,279.23, 20.36, 20.48, 20.11, 15.67, 13.86,108.55,147.37,237.56,264.18,266.46,267.16,266.40,
   320,10/27/13 03:01:59,11,270.28, 97.34,1024.3,269.5,N,  0.00, 90.00,279.23, 20.61, 20.49, 19.97, 15.93, 14.20,108.65,147.30,237.57,264.09,266.38,267.23,266.39,
   321,10/27/13 03:02:24,11,270.23, 97.47,1024.3,269.4,N,  0.00, 90.00,279.23, 20.82, 20.38, 20.11, 15.91, 14.43,108.90,147.72,237.95,264.32,266.44,267.48,266.37,
   322,10/27/13 03:02:49,11,270.33, 97.63,1024.3,269.5,N,  0.00, 90.00,279.23, 20.43, 20.39, 20.05, 16.23, 13.91,108.65,147.64,237.70,264.33,266.39,267.27,266.57,
   323,10/27/13 03:04:44,11,270.31, 98.16,1024.3,270.1,N,  0.00, 90.00,279.20, 21.15, 20.67, 19.92, 16.00, 14.50,109.08,147.37,237.17,264.22,266.99,267.73,266.72,
   324,10/27/13 03:05:08,11,270.27, 98.24,1024.2,270.3,N,  0.00, 90.00,279.20, 20.93, 20.63, 19.68, 16.00, 14.35,109.41,147.98,237.72,264.26,266.95,267.46,266.96,
   325,10/27/13 03:05:33,11,270.30, 98.46,1024.3,270.6,N,  0.00, 90.00,279.20, 20.97, 20.68, 20.35, 16.05, 14.60,109.60,148.01,237.72,264.06,266.90,267.27,266.89,
   326,10/27/13 03:05:58,11,270.29, 98.52,1024.2,270.6,N,  0.00, 90.00,279.20, 21.17, 20.65, 20.10, 16.41, 14.69,109.54,147.95,237.40,264.07,266.58,267.03,266.75,
   327,10/27/13 03:06:23,11,270.29, 98.43,1024.3,270.5,N,  0.00, 90.00,279.20, 20.71, 20.65, 19.84, 15.80, 14.31,108.64,147.35,237.52,264.13,266.54,267.72,266.58,
   328,10/27/13 03:06:48,11,270.19, 98.43,1024.3,269.3,N,  0.00, 90.00,279.20, 20.90, 20.24, 19.44, 15.73, 13.67,108.03,147.01,237.49,264.34,266.76,267.73,267.31,
   329,10/27/13 03:07:13,11,270.21, 98.51,1024.2,269.1,N,  0.00, 90.00,279.20, 20.84, 20.44, 19.96, 16.04, 14.04,108.93,147.44,237.28,264.16,266.64,267.40,266.79,
   330,10/27/13 03:07:38,11,270.30, 98.53,1024.2,269.7,N,  0.00, 90.00,279.20, 20.81, 20.50, 19.83, 15.85, 14.71,109.15,147.66,237.51,264.25,266.81,267.49,267.40,
   331,10/27/13 03:08:03,11,270.33, 98.59,1024.2,269.7,N,  0.00, 90.00,279.20, 20.68, 20.55, 19.87, 16.10, 14.23,109.00,147.47,237.72,264.32,266.99,267.38,266.86,
   332,10/27/13 03:08:28,11,270.28, 98.55,1024.2,269.6,N,  0.00, 90.00,279.20, 20.85, 20.48, 19.80, 16.02, 14.42,109.19,147.57,237.75,264.34,266.72,267.38,267.18,
   333,10/27/13 03:10:23,11,270.22, 98.44,1024.2,268.3,N,  0.00, 90.00,279.16, 20.50, 20.57, 19.57, 15.97, 14.38,109.13,147.64,237.85,264.34,266.76,267.72,266.69,
   334,10/27/13 03:10:47,11,270.18, 98.43,1024.3,269.6,N,  0.00, 90.00,279.16, 20.91, 20.70, 19.98, 16.43, 14.62,109.49,147.73,237.97,264.10,266.63,267.68,266.75,
   335,10/27/13 03:11:12,11,270.20, 98.55,1024.3,269.9,N,  0.00, 90.00,279.16, 21.20, 21.04, 20.36, 17.08, 15.38,110.74,148.75,237.86,264.03,266.55,267.46,266.62,
   336,10/27/13 03:11:37,11,270.25, 98.50,1024.3,270.1,N,  0.00, 90.00,279.16, 21.31, 21.12, 20.25, 16.74, 15.53,110.54,148.57,237.80,264.31,266.29,267.49,266.60,
   337,10/27/13 03:12:02,11,270.21, 98.44,1024.4,269.7,N,  0.00, 90.00,279.16, 21.35, 21.16, 20.36, 16.92, 15.47,110.32,148.39,237.84,264.22,266.42,267.14,266.53,
   338,10/27/13 03:12:27,11,270.29, 98.38,1024.3,270.0,N,  0.00, 90.00,279.16, 21.08, 20.84, 20.47, 16.50, 14.98,110.05,148.34,237.53,264.28,266.47,267.49,266.63,
   339,10/27/13 03:12:52,11,270.30, 98.12,1024.3,269.8,N,  0.00, 90.00,279.16, 20.91, 20.80, 20.10, 16.41, 14.75,109.87,148.16,237.84,264.14,266.41,267.57,266.77,
   340,10/27/13 03:13:17,11,270.32, 97.95,1024.3,269.7,N,  0.00, 90.00,279.16, 20.90, 20.93, 19.83, 16.45, 14.89,109.85,147.93,237.61,264.18,266.44,267.90,266.80,
   341,10/27/13 03:13:42,11,270.23, 97.84,1024.3,269.6,N,  0.00, 90.00,279.16, 20.70, 20.28, 19.77, 16.43, 14.94,109.81,148.02,237.99,264.05,266.46,267.63,266.76,
   342,10/27/13 03:14:07,11,270.33, 97.67,1024.3,269.5,N,  0.00, 90.00,279.16, 20.58, 20.53, 19.95, 16.17, 14.64,109.44,147.69,237.79,264.24,266.65,267.83,266.50,
   343,10/27/13 03:16:02,11,270.36, 97.09,1024.2,269.5,N,  0.00, 90.00,279.10, 21.06, 20.44, 20.13, 16.22, 14.97,109.59,147.77,237.59,264.11,266.93,267.53,266.87,
   344,10/27/13 03:16:27,12,270.35, 97.03,1024.2,269.18,N,  0.00, 41.85,279.10, 30.17, 29.38, 27.81, 22.47, 21.71,145.76,186.82,255.99,266.29,267.09,268.15,267.63,
   345,10/27/13 03:16:51,12,270.35, 97.03,1024.2,269.18,N,  0.00, 30.15,279.10, 38.86, 38.10, 36.18, 28.24, 27.62,172.44,211.98,262.22,267.08,267.34,268.19,267.66,
   346,10/27/13 03:17:16,12,270.35, 97.03,1024.2,269.18,N,  0.00, 19.35,279.10, 55.85, 55.40, 51.65, 40.24, 39.23,209.52,240.96,265.81,267.53,267.93,268.86,268.13,
   347,10/27/13 03:17:40,12,270.35, 97.03,1024.2,269.18,N,  0.00, 10.35,279.10, 92.49, 91.24, 85.61, 69.20, 69.00,249.65,262.02,267.25,267.78,268.43,269.06,268.54,
   348,10/27/13 03:18:07,11,270.31, 96.36,1024.0,268.8,N,  0.00, 90.00,279.10, 20.86, 20.20, 19.86, 15.80, 14.43,109.02,147.74,237.85,264.30,266.79,268.00,267.06,
   349,10/27/13 03:18:32,12,270.25, 96.29,1024.1,268.80,N,  0.00, 41.85,279.10, 29.88, 29.47, 27.95, 22.11, 21.46,145.44,186.55,255.68,266.64,266.92,267.76,267.54,
   350,10/27/13 03:18:56,12,270.25, 96.29,1024.1,268.80,N,  0.00, 30.15,279.10, 38.79, 38.18, 36.10, 28.30, 27.64,172.91,212.28,262.46,267.22,267.40,268.24,267.75,
   351,10/27/13 03:19:21,12,270.25, 96.29,1024.1,268.80,N,  0.00, 19.35,279.10, 56.19, 55.46, 51.59, 40.56, 39.71,209.90,241.11,266.07,267.35,267.93,268.91,268.13,
   352,10/27/13 03:19:46,12,270.25, 96.29,1024.1,268.80,N,  0.00, 10.35,279.10, 92.03, 90.80, 85.40, 68.53, 68.12,249.22,261.89,266.94,268.15,268.33,268.98,268.34,
   353,10/27/13 03:20:12,11,270.26, 95.99,1024.1,269.4,N,  0.00, 90.00,279.10, 21.26, 20.76, 20.12, 16.56, 15.71,110.36,148.54,237.88,264.30,266.61,267.57,267.07,
   354,10/27/13 03:20:37,12,270.31, 95.94,1024.1,269.58,N,  0.00, 41.85,279.10, 30.28, 29.55, 28.15, 22.71, 22.26,145.89,187.06,256.34,266.59,267.03,268.05,267.50,
   355,10/27/13 03:21:01,12,270.31, 95.94,1024.1,269.58,N,  0.00, 30.15,279.10, 38.97, 38.10, 36.25, 28.11, 27.52,172.13,211.80,262.34,267.20,267.28,268.29,267.74,
   356,10/27/13 03:21:26,12,270.31, 95.94,1024.1,269.58,N,  0.00, 19.35,279.10, 56.38, 55.85, 51.66, 40.55, 39.98,209.81,240.86,266.04,267.79,267.94,268.61,268.29,
   357,10/27/13 03:21:51,12,270.31, 95.94,1024.1,269.58,N,  0.00, 10.35,279.10, 92.27, 91.09, 85.30, 68.29, 67.72,249.08,261.82,267.10,267.73,268.41,269.04,268.36,
   358,10/27/13 03:22:17,11,270.35, 95.55,1024.2,269.5,N,  0.00, 90.00,279.10, 21.28, 20.82, 20.03, 16.19, 15.47,109.99,148.37,237.66,263.97,266.71,267.43,266.66,
   359,10/27/13 03:22:42,12,270.33, 95.68,1024.2,269.58,N,  0.00, 41.85,279.10, 29.88, 29.15, 27.70, 21.89, 21.53,144.96,186.36,255.94,266.05,267.00,267.78,267.45,
   360,10/27/13 03:23:06,12,270.33, 95.68,1024.2,269.58,N,  0.00, 30.15,279.10, 39.64, 38.89, 36.89, 29.17, 28.71,173.36,212.58,262.25,267.23,267.42,268.23,267.35,
   361,10/27/13 03:23:31,12,270.33, 95.68,1024.2,269.58,N,  0.00, 19.35,279.10, 56.67, 55.92, 52.16, 40.89, 40.50,210.27,241.10,266.02,267.50,267.67,268.28,267.91,
   362,10/27/13 03:23:56,12,270.33, 95.68,1024.2,269.58,N,  0.00, 10.35,279.10, 92.67, 91.39, 85.88, 68.99, 68.80,249.32,261.98,267.19,267.85,268.70,269.41,268.26,
   363,10/27/13 03:24:22,11,270.36, 95.66,1024.2,268.8,N,  0.00, 90.00,279.10, 20.71, 20.60, 19.76, 15.68, 14.47,108.23,146.74,237.35,263.99,266.74,267.41,266.85,
   364,10/27/13 03:24:47,12,270.39, 95.61,1024.2,267.58,N,  0.00, 41.85,279.10, 30.10, 29.53, 28.18, 22.71, 21.89,145.59,186.82,255.59,266.48,267.35,268.01,267.34,
   365,10/27/13 03:25:11,12,270.39, 95.61,1024.2,267.58,N,  0.00, 30.15,279.10, 39.16, 38.19, 36.32, 28.18, 27.66,172.23,211.87,262.08,266.86,267.27,268.30,267.44,
   366,10/27/13 03:25:36,12,270.39, 95.61,1024.2,267.58,N,  0.00, 19.35,279.10, 57.12, 56.57, 52.84, 41.74, 41.09,210.67,241.26,265.48,267.43,267.83,268.75,267.93,
   367,10/27/13 03:26:00,12,270.39, 95.61,1024.2,267.58,N,  0.00, 10.35,279.10, 93.11, 91.82, 85.88, 68.98, 68.96,249.33,261.91,267.26,268.04,268.40,269.20,268.30,
   368,10/27/13 03:27:56,11,270.35, 96.39,1024.3,270.0,N,  0.00, 90.00,279.03, 21.45, 21.18, 20.78, 16.87, 15.93,110.95,149.38,237.77,264.20,266.45,267.41,266.30,
   369,10/27/13 03:28:20,11,270.38, 96.60,1024.3,270.0,N,  0.00, 90.00,279.03, 21.52, 21.35, 20.82, 16.83, 16.05,111.60,149.74,238.02,264.19,266.33,267.42,266.34,
   370,10/27/13 03:28:45,11,270.37, 96.66,1024.3,270.0,N,  0.00, 90.00,279.03, 22.00, 21.27, 21.06, 17.18, 16.24,111.41,149.86,237.93,264.12,266.47,267.55,266.35,
   371,10/27/13 03:29:10,11,270.36, 96.85,1024.3,269.9,N,  0.00, 90.00,279.03, 21.57, 21.05, 20.85, 16.83, 15.93,110.41,148.96,237.58,264.09,266.29,267.49,266.59,
   372,10/27/13 03:29:35,11,270.34, 96.93,1024.3,270.1,N,  0.00, 90.00,279.03, 21.45, 21.40, 20.78, 16.88, 16.00,110.66,149.30,237.92,264.19,266.38,267.55,266.31,
   373,10/27/13 03:30:00,11,270.35, 96.88,1024.3,270.0,N,  0.00, 90.00,279.03, 21.80, 21.38, 20.64, 16.66, 15.53,110.81,149.44,237.79,264.16,266.17,267.34,266.35,
   374,10/27/13 03:30:25,11,270.35, 97.03,1024.3,269.8,N,  0.00, 90.00,279.03, 21.47, 21.27, 20.58, 16.88, 15.47,110.48,149.16,237.70,264.21,266.36,267.26,266.24,
   375,10/27/13 03:30:50,11,270.39, 97.17,1024.3,270.3,N,  0.00, 90.00,279.03, 22.35, 21.93, 21.53, 17.53, 16.87,112.56,150.95,238.16,264.00,266.32,267.34,266.10,
   376,10/27/13 03:31:15,11,270.35, 97.27,1024.3,270.3,N,  0.00, 90.00,279.03, 21.56, 21.07, 20.70, 16.96, 15.41,110.44,148.98,237.63,263.97,266.09,267.26,266.30,
   377,10/27/13 03:31:40,11,270.36, 97.26,1024.3,269.6,N,  0.00, 90.00,279.03, 21.24, 21.12, 20.51, 16.56, 15.47,110.03,148.94,237.50,263.89,266.43,267.43,266.40,
   378,10/27/13 03:33:35,11,270.42, 97.31,1024.4,269.9,N,  0.00, 90.00,279.01, 21.95, 21.21, 20.78, 16.96, 15.72,111.34,149.32,237.57,264.05,266.46,267.66,266.89,
   379,10/27/13 03:33:59,11,270.41, 97.35,1024.4,270.1,N,  0.00, 90.00,279.01, 22.13, 21.46, 21.04, 17.32, 16.44,112.24,150.00,237.63,264.37,266.67,267.77,267.04,
   380,10/27/13 03:34:24,11,270.40, 97.41,1024.4,270.1,N,  0.00, 90.00,279.01, 22.13, 21.84, 21.17, 17.67, 16.42,111.84,149.78,237.57,264.22,266.39,267.77,266.98,
   381,10/27/13 03:34:49,11,270.38, 97.46,1024.4,270.1,N,  0.00, 90.00,279.01, 22.20, 21.82, 21.44, 17.30, 16.52,111.55,149.73,237.61,264.10,266.67,267.62,266.87,
   382,10/27/13 03:35:14,11,270.43, 97.54,1024.3,270.1,N,  0.00, 90.00,279.01, 22.12, 21.41, 21.45, 17.58, 16.44,111.68,149.47,237.56,264.10,266.65,267.30,266.77,
   383,10/27/13 03:35:39,11,270.40, 97.55,1024.3,270.2,N,  0.00, 90.00,279.01, 21.87, 21.45, 21.02, 17.11, 16.28,111.50,149.26,237.44,264.11,266.63,267.53,266.91,
   384,10/27/13 03:36:04,11,270.45, 97.59,1024.4,270.1,N,  0.00, 90.00,279.01, 21.62, 21.27, 20.86, 17.05, 16.04,111.19,149.23,237.44,264.20,266.63,267.68,266.85,
   385,10/27/13 03:36:29,11,270.39, 97.62,1024.4,270.2,N,  0.00, 90.00,279.01, 22.35, 22.08, 21.48, 17.48, 16.97,112.51,150.25,237.50,264.06,266.56,267.63,266.92,
   386,10/27/13 03:36:54,11,270.40, 97.72,1024.3,270.2,N,  0.00, 90.00,279.01, 21.91, 21.39, 20.93, 17.14, 15.94,111.10,149.01,237.22,264.06,266.46,267.35,267.09,
   387,10/27/13 03:37:19,11,270.45, 97.80,1024.3,269.4,N,  0.00, 90.00,279.01, 21.10, 20.73, 20.35, 16.07, 14.66,109.37,148.11,236.95,263.96,266.32,267.59,266.82,
   388,10/27/13 03:39:14,11,270.35, 98.13,1024.3,270.2,N,  0.00, 90.00,279.03, 22.13, 21.53, 21.21, 17.29, 16.39,111.26,149.40,237.72,264.02,266.84,267.69,266.49,
   389,10/27/13 03:39:38,11,270.35, 98.23,1024.4,270.1,N,  0.00, 90.00,279.03, 21.73, 21.46, 21.27, 17.45, 16.27,111.86,149.97,238.19,263.94,266.68,267.56,266.59,
   390,10/27/13 03:40:03,11,270.47, 98.29,1024.3,270.2,N,  0.00, 90.00,279.03, 21.92, 21.51, 21.30, 17.67, 16.31,111.52,149.75,237.95,264.21,266.65,267.23,266.63,
   391,10/27/13 03:40:28,11,270.42, 98.27,1024.3,270.3,N,  0.00, 90.00,279.03, 22.01, 21.62, 21.00, 17.61, 16.37,111.28,149.55,237.88,264.04,266.51,267.42,266.61,
   392,10/27/13 03:40:53,11,270.45, 98.25,1024.3,269.9,N,  0.00, 90.00,279.03, 21.82, 21.55, 21.17, 17.46, 16.53,111.30,149.69,237.67,264.12,266.52,267.53,266.51,
   393,10/27/13 03:41:18,11,270.43, 98.26,1024.3,270.3,N,  0.00, 90.00,279.03, 21.79, 21.66, 21.49, 17.60, 16.43,111.72,149.74,237.63,263.80,266.50,267.35,266.68,
   394,10/27/13 03:41:43,11,270.44, 98.28,1024.3,270.2,N,  0.00, 90.00,279.03, 22.14, 21.80, 21.54, 17.80, 16.76,112.56,150.52,237.79,263.80,266.42,267.35,266.60,
   395,10/27/13 03:42:08,11,270.43, 98.27,1024.3,270.3,N,  0.00, 90.00,279.03, 22.32, 21.99, 21.78, 18.18, 17.14,112.54,150.43,238.02,263.87,266.52,267.65,266.77,
   396,10/27/13 03:42:33,11,270.46, 98.29,1024.4,270.4,N,  0.00, 90.00,279.03, 22.51, 22.20, 21.83, 18.14, 17.37,112.82,150.70,237.91,263.87,266.56,267.33,266.77,
   397,10/27/13 03:42:58,11,270.40, 98.17,1024.3,270.4,N,  0.00, 90.00,279.03, 22.62, 22.14, 21.87, 18.08, 17.35,112.55,150.51,237.95,263.91,266.66,267.31,266.69,
   398,10/27/13 03:44:53,11,270.42, 95.58,1024.3,270.4,N,  0.00, 90.00,279.05, 22.53, 22.85, 21.89, 18.16, 17.62,113.71,151.15,238.69,264.50,267.02,267.64,266.76,
   399,10/27/13 03:45:17,11,270.49, 94.93,1024.3,270.5,N,  0.00, 90.00,279.05, 23.09, 22.82, 21.53, 18.40, 17.48,113.86,151.54,238.82,264.26,266.67,267.68,266.61,
   400,10/27/13 03:45:42,11,270.47, 94.40,1024.3,270.5,N,  0.00, 90.00,279.05, 23.08, 22.85, 21.87, 18.71, 17.56,113.79,151.54,238.68,264.28,267.06,267.74,266.82,
   401,10/27/13 03:46:07,11,270.49, 93.78,1024.3,270.6,N,  0.00, 90.00,279.05, 23.01, 22.51, 21.95, 18.59, 17.42,113.37,151.20,238.79,264.17,266.69,267.66,266.75,
   402,10/27/13 03:46:32,11,270.49, 93.48,1024.3,270.6,N,  0.00, 90.00,279.05, 22.76, 22.90, 22.07, 18.50, 17.73,113.89,151.44,238.81,264.31,266.64,267.77,266.82,
   403,10/27/13 03:46:57,11,270.50, 93.01,1024.2,270.7,N,  0.00, 90.00,279.05, 22.79, 22.52, 21.90, 18.56, 17.58,113.92,151.47,238.88,264.40,266.87,267.82,266.86,
   404,10/27/13 03:47:22,11,270.52, 92.78,1024.2,270.7,N,  0.00, 90.00,279.05, 22.86, 22.73, 22.02, 18.55, 17.78,113.47,151.07,238.61,264.55,266.71,267.72,266.96,
   405,10/27/13 03:47:47,11,270.50, 92.32,1024.2,270.9,N,  0.00, 90.00,279.05, 22.68, 22.75, 21.84, 18.78, 17.67,113.69,151.36,238.81,264.23,266.78,267.99,266.97,
   406,10/27/13 03:48:12,11,270.53, 92.26,1024.2,270.8,N,  0.00, 90.00,279.05, 22.95, 22.75, 21.83, 18.75, 17.69,113.90,151.44,238.71,264.31,266.80,267.59,266.93,
   407,10/27/13 03:48:37,11,270.53, 92.28,1024.2,270.9,N,  0.00, 90.00,279.05, 22.77, 22.78, 21.87, 18.43, 17.56,112.77,150.60,238.49,264.69,266.84,267.59,266.91,
   408,10/27/13 03:50:32,11,270.54, 92.42,1024.2,271.1,N,  0.00, 90.00,279.08, 23.06, 22.56, 22.37, 18.45, 18.23,113.86,151.25,237.75,264.27,266.92,267.71,266.52,
   409,10/27/13 03:50:56,11,270.47, 92.28,1024.3,270.9,N,  0.00, 90.00,279.08, 22.92, 22.50, 22.32, 18.54, 18.01,113.59,151.17,238.01,264.09,266.67,267.52,266.41,
   410,10/27/13 03:51:21,11,270.49, 92.60,1024.2,271.0,N,  0.00, 90.00,279.08, 22.66, 22.38, 22.00, 18.14, 17.89,113.19,150.88,237.71,264.24,266.87,267.61,266.56,
   411,10/27/13 03:51:46,11,270.52, 92.80,1024.3,271.0,N,  0.00, 90.00,279.08, 22.92, 22.50, 22.08, 18.18, 17.78,113.79,151.21,238.04,264.37,266.90,267.38,266.74,
   412,10/27/13 03:52:11,11,270.49, 92.71,1024.2,271.1,N,  0.00, 90.00,279.08, 21.93, 21.83, 21.23, 17.11, 16.13,110.71,148.88,237.46,264.15,266.79,267.67,266.67,
   413,10/27/13 03:52:36,11,270.51, 92.75,1024.3,270.6,N,  0.00, 90.00,279.08, 21.84, 21.62, 21.13, 17.09, 16.57,112.34,150.14,237.76,264.26,266.74,267.39,266.73,
   414,10/27/13 03:53:01,11,270.48, 92.81,1024.3,271.2,N,  0.00, 90.00,279.08, 22.27, 22.11, 21.76, 17.78, 17.28,113.06,150.75,237.78,264.37,266.73,267.68,266.78,
   415,10/27/13 03:53:26,11,270.50, 92.99,1024.3,271.2,N,  0.00, 90.00,279.08, 22.48, 22.37, 21.92, 17.95, 17.42,113.18,150.84,238.10,264.17,266.97,267.71,266.84,
   416,10/27/13 03:53:51,11,270.50, 93.11,1024.3,271.5,N,  0.00, 90.00,279.08, 22.69, 22.16, 22.10, 18.15, 17.52,113.17,150.71,238.14,263.99,266.93,267.70,266.57,
   417,10/27/13 03:54:16,11,270.50, 92.98,1024.3,271.4,N,  0.00, 90.00,279.08, 22.40, 22.20, 21.87, 17.80, 17.40,112.93,150.69,237.56,263.97,266.55,267.44,266.59,
   418,10/27/13 03:56:11,11,270.51, 93.10,1024.3,271.1,N,  0.00, 90.00,279.11, 22.75, 22.68, 22.13, 18.43, 17.76,113.55,151.09,238.39,264.52,266.62,267.76,266.72,
   419,10/27/13 03:56:35,11,270.47, 93.25,1024.3,271.3,N,  0.00, 90.00,279.11, 22.59, 22.76, 22.04, 18.71, 18.15,114.08,151.49,238.44,264.20,266.64,267.87,266.95,
   420,10/27/13 03:57:00,11,270.60, 93.17,1024.2,271.2,N,  0.00, 90.00,279.11, 22.98, 22.79, 22.27, 18.92, 18.15,113.95,151.70,238.58,264.25,266.31,267.63,267.02,
   421,10/27/13 03:57:25,11,270.49, 93.18,1024.2,271.2,N,  0.00, 90.00,279.11, 22.96, 22.65, 22.36, 19.12, 18.66,114.33,151.78,238.67,264.33,266.48,267.66,266.82,
   422,10/27/13 03:57:50,11,270.51, 93.25,1024.2,271.0,N,  0.00, 90.00,279.11, 23.19, 22.81, 22.55, 18.95, 18.35,114.01,151.65,238.53,264.61,266.58,267.56,266.68,
   423,10/27/13 03:58:15,11,270.48, 93.20,1024.2,271.1,N,  0.00, 90.00,279.11, 23.05, 22.77, 22.44, 18.78, 17.98,114.06,151.43,238.46,264.36,266.43,267.59,266.82,
   424,10/27/13 03:58:40,11,270.48, 93.21,1024.2,270.9,N,  0.00, 90.00,279.11, 22.90, 22.78, 22.41, 18.99, 18.02,113.10,151.15,238.43,264.60,266.76,267.50,266.96,
   425,10/27/13 03:59:05,11,270.48, 93.31,1024.1,271.1,N,  0.00, 90.00,279.11, 22.99, 22.92, 22.58, 18.91, 18.04,114.05,151.58,238.60,264.32,266.61,267.52,267.00,
   426,10/27/13 03:59:30,11,270.51, 93.46,1024.1,270.9,N,  0.00, 90.00,279.11, 23.10, 22.94, 22.73, 19.02, 18.47,114.61,151.95,238.51,264.34,266.55,267.64,266.95,
   427,10/27/13 03:59:55,11,270.53, 93.58,1024.2,270.9,N,  0.00, 90.00,279.11, 23.14, 23.08, 22.43, 19.08, 18.19,113.87,151.50,238.32,264.17,266.53,267.64,266.52,
